strain	genbank_accession	date	country	host	completeness	length	Nextstrain_clade_usher	Lineage
hCoV-19/Fujian/FCDC-02S026/2023	EPI_ISL_16977249	2023/2/10	China	Human		29799	GRA	BA.5.2.48
hCoV-19/Henan/CDC-3/2023	EPI_ISL_16984912	2023/2/4	China	Human		29721	GRA	BA.5.2.48
hCoV-19/Fujian/FCDC-02S005/2023	EPI_ISL_16977196	2023/2/2	China	Human		29793	GRA	BA.5.2.48
hCoV-19/Hubei/HCDC-657/2023	EPI_ISL_16986118	2023/2/1	China	Human		29680	GRA	BA.5.2.48
hCoV-19/Hubei/HCDC-665/2023	EPI_ISL_16986126	2023/2/3	China	Human		29624	GRA	BA.5.2.48
hCoV-19/Hubei/HCDC-667/2023	EPI_ISL_16986128	2023/2/7	China	Human		29622	GRA	BA.5.2.48
hCoV-19/Hubei/HCDC-661/2023	EPI_ISL_16986122	2023/2/7	China	Human		29757	GRA	BA.5.2.48
hCoV-19/Hubei/HCDC-666/2023	EPI_ISL_16986127	2023/2/5	China	Human		29634	GRA	BA.5.2.48
hCoV-19/Anhui/BBCDC-8/2023	EPI_ISL_16997138	2023/1/16	China	Human		29782	GRA	BA.5.2.48
hCoV-19/Anhui/BBCDC-2/2023	EPI_ISL_16997132	2023/1/29	China	Human		29758	GRA	BA.5.2.48
hCoV-19/Anhui/BBCDC-14/2023	EPI_ISL_16997143	2023/2/3	China	Human		29761	GRA	BA.5.2.48
hCoV-19/Anhui/BBCDC-1/2023	EPI_ISL_16997131	2023/1/26	China	Human		29731	GRA	BA.5.2.48
hCoV-19/Henan/XYCDC-6/2023	EPI_ISL_17016200	2023/2/8	China	Human		29649	GRA	BA.5.2.48
hCoV-19/Henan/XYCDC-7/2023	EPI_ISL_17016201	2023/2/15	China	Human		29768	GRA	BA.5.2.48
hCoV-19/Anhui/HNCDC-20/2023	EPI_ISL_17025962	2023/2/13	China	Human		29767	GRA	BA.5.2.48
hCoV-19/Tianjin/TJCDC-20230221-33/2023	EPI_ISL_17027431	2023/2/12	China	Human		29863	GRA	BA.5.2.48
hCoV-19/Anhui/HNCDC-15/2023	EPI_ISL_17025974	2023/2/1	China	Human		29773	GRA	BA.5.2.48
hCoV-19/Tianjin/TJCDC-20230221-17/2023	EPI_ISL_17027416	2023/2/11	China	Human		29870	GRA	BA.5.2.48
hCoV-19/Tianjin/TJCDC-20230221-25/2023	EPI_ISL_17027424	2023/2/7	China	Human		29862	GRA	BA.5.2.48
hCoV-19/Tianjin/TJCDC-20230221-20/2023	EPI_ISL_17027419	2023/2/8	China	Human		29866	GRA	BA.5.2.48
hCoV-19/Tianjin/TJCDC-20230221-1/2023	EPI_ISL_17027402	2023/2/7	China	Human		29866	GRA	BA.5.2.48
hCoV-19/Tianjin/TJCDC-20230221-3/2023	EPI_ISL_17027404	2023/2/8	China	Human		29862	GRA	BA.5.2.48
hCoV-19/Tianjin/TJCDC-20230221-34/2023	EPI_ISL_17027432	2023/2/9	China	Human		29858	GRA	BA.5.2.48
hCoV-19/Tianjin/TJCDC-20230221-9/2023	EPI_ISL_17027409	2023/2/11	China	Human		29849	GRA	BA.5.2.48
hCoV-19/Tianjin/TJCDC-20230221-5/2023	EPI_ISL_17027406	2023/2/10	China	Human		29850	GRA	BA.5.2.48
hCoV-19/Shanxi/SXCDC-0352/2023	EPI_ISL_17027532	2023/2/15	China	Human		29768	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-135/2023	EPI_ISL_17031764	2023/1/28	China	Human		29668	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-56/2023	EPI_ISL_17031619	2023/1/8	China	Human		29804	GRA	BA.5.2.48
hCoV-19/Hebei/CZ-28/2023	EPI_ISL_17031770	2023/1/28	China	Human		29789	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-61/2023	EPI_ISL_17031628	2023/1/9	China	Human		29787	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-48/2023	EPI_ISL_17031614	2023/1/8	China	Human		29790	GRA	BA.5.2.48
hCoV-19/Hebei/ZJK-82/2023	EPI_ISL_17031751	2023/1/25	China	Human		29631	GRA	BA.5.2.48
hCoV-19/Hebei/HD-17/2023	EPI_ISL_17031699	2023/1/16	China	Human		29682	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-63/2023	EPI_ISL_17031630	2023/1/9	China	Human		29675	GRA	BA.5.2.48
hCoV-19/Hebei/ZJK-29/2023	EPI_ISL_17031638	2023/1/9	China	Human		29786	GRA	BA.5.2.48
hCoV-19/Hebei/ZJK-25/2023	EPI_ISL_17031634	2023/1/9	China	Human		29788	GRA	BA.5.2.48
hCoV-19/Hebei/TS-6/2023	EPI_ISL_17031642	2023/1/9	China	Human		29690	GRA	BA.5.2.48
hCoV-19/Hebei/ZJK-78/2023	EPI_ISL_17031750	2023/1/25	China	Human		29631	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-131/2023	EPI_ISL_17031707	2023/1/17	China	Human		29675	GRA	BA.5.2.48
hCoV-19/Hebei/TS-8/2023	EPI_ISL_17031643	2023/1/9	China	Human		29691	GRA	BA.5.2.48
hCoV-19/Hebei/CZ-30/2023	EPI_ISL_17031777	2023/1/29	China	Human		29772	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-117/2023	EPI_ISL_17031651	2023/1/10	China	Human		29697	GRA	BA.5.2.48
hCoV-19/Hebei/XT-3/2023	EPI_ISL_17031708	2023/1/17	China	Human		29697	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-82/2023	EPI_ISL_17031644	2023/1/9	China	Human		29741	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-84/2023	EPI_ISL_17031646	2023/1/9	China	Human		29665	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-139/2023	EPI_ISL_17031767	2023/1/28	China	Human		29694	GRA	BA.5.2.48
hCoV-19/Hebei/HD-19/2023	EPI_ISL_17031763	2023/1/28	China	Human		29641	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-119/2023	EPI_ISL_17031653	2023/1/10	China	Human		29684	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-142/2023	EPI_ISL_17031775	2023/1/29	China	Human		29690	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-129/2023	EPI_ISL_17031705	2023/1/17	China	Human		29765	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-125/2023	EPI_ISL_17031668	2023/1/13	China	Human		29691	GRA	BA.5.2.48
hCoV-19/Hebei/CZ-29/2023	EPI_ISL_17031771	2023/1/28	China	Human		29782	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-108/2023	EPI_ISL_17031702	2023/1/17	China	Human		29642	GRA	BA.5.2.48
hCoV-19/Hebei/XT-7/2023	EPI_ISL_17031709	2023/1/17	China	Human		29757	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-130/2023	EPI_ISL_17031706	2023/1/17	China	Human		29800	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-106/2023	EPI_ISL_17031701	2023/1/17	China	Human		29696	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-114/2023	EPI_ISL_17031704	2023/1/17	China	Human		29651	GRA	BA.5.2.48
hCoV-19/Hebei/QHD-1/2023	EPI_ISL_17031669	2023/1/14	China	Human		29687	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-145/2023	EPI_ISL_17031717	2023/1/19	China	Human		29686	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-109/2023	EPI_ISL_17031710	2023/1/18	China	Human		29634	GRA	BA.5.2.48
hCoV-19/Hebei/HD-13/2023	EPI_ISL_17031665	2023/1/12	China	Human		29682	GRA	BA.5.2.48
hCoV-19/Hebei/BD-20/2023	EPI_ISL_17031664	2023/1/12	China	Human		29783	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-123/2023	EPI_ISL_17031663	2023/1/12	China	Human		29671	GRA	BA.5.2.48
hCoV-19/Hebei/ZJK-46/2023	EPI_ISL_17031679	2023/1/15	China	Human		29631	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-147/2023	EPI_ISL_17031719	2023/1/19	China	Human		29646	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-62/2023	EPI_ISL_17031629	2023/1/9	China	Human		29793	GRA	BA.5.2.48
hCoV-19/Hebei/ZJK-62/2023	EPI_ISL_17031739	2023/1/25	China	Human		29621	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-50/2023	EPI_ISL_17031615	2023/1/8	China	Human		29669	GRA	BA.5.2.48
hCoV-19/Hebei/HD-3/2023	EPI_ISL_17031624	2023/1/9	China	Human		29786	GRA	BA.5.2.48
hCoV-19/Hebei/TS-5/2023	EPI_ISL_17031731	2023/1/23	China	Human		29692	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-60/2023	EPI_ISL_17031627	2023/1/9	China	Human		29805	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-57/2023	EPI_ISL_17031620	2023/1/8	China	Human		29786	GRA	BA.5.2.48
hCoV-19/Hebei/XT-2/2023	EPI_ISL_17031691	2023/1/16	China	Human		29676	GRA	BA.5.2.48
hCoV-19/Hebei/ZJK-70/2023	EPI_ISL_17031745	2023/1/25	China	Human		29627	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-115/2023	EPI_ISL_17031713	2023/1/18	China	Human		29639	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-112/2023	EPI_ISL_17031711	2023/1/18	China	Human		29698	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-146/2023	EPI_ISL_17031718	2023/1/19	China	Human		29787	GRA	BA.5.2.48
hCoV-19/Hebei/ZJK-55/2023	EPI_ISL_17031687	2023/1/15	China	Human		29631	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-80/2023	EPI_ISL_17031673	2023/1/15	China	Human		29683	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-107/2023	EPI_ISL_17031721	2023/1/20	China	Human		29695	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-127/2023	EPI_ISL_17031671	2023/1/15	China	Human		29690	GRA	BA.5.2.48
hCoV-19/Hebei/ZJK-49/2023	EPI_ISL_17031682	2023/1/15	China	Human		29629	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-183/2023	EPI_ISL_17031913	2023/2/14	China	Human		29751	GRA	BA.5.2.48
hCoV-19/Hebei/HD-37/2023	EPI_ISL_17031818	2023/2/2	China	Human		29632	GRA	BA.5.2.48
hCoV-19/Hebei/XJ-6/2023	EPI_ISL_17031922	2023/2/14	China	Human		29635	GRA	BA.5.2.48
hCoV-19/Hebei/HS-6/2023	EPI_ISL_17031919	2023/2/14	China	Human		29670	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-186/2023	EPI_ISL_17031914	2023/2/14	China	Human		29700	GRA	BA.5.2.48
hCoV-19/Hebei/XT-27/2023	EPI_ISL_17031911	2023/2/14	China	Human		29769	GRA	BA.5.2.48
hCoV-19/Hebei/HS-8/2023	EPI_ISL_17031921	2023/2/14	China	Human		29635	GRA	BA.5.2.48
hCoV-19/Hebei/HS-7/2023	EPI_ISL_17031920	2023/2/14	China	Human		29635	GRA	BA.5.2.48
hCoV-19/Hebei/HD-36/2023	EPI_ISL_17031817	2023/2/2	China	Human		29646	GRA	BA.5.2.48
hCoV-19/Hebei/HS-16/2023	EPI_ISL_17031934	2023/2/15	China	Human		29635	GRA	BA.5.2.48
hCoV-19/Hebei/QHD-12/2023	EPI_ISL_17031936	2023/2/15	China	Human		29683	GRA	BA.5.2.48
hCoV-19/Hebei/ZJK-113/2023	EPI_ISL_17031810	2023/2/1	China	Human		29830	GRA	BA.5.2.48
hCoV-19/Hebei/CZ-51/2023	EPI_ISL_17031829	2023/2/3	China	Human		29749	GRA	BA.5.2.48
hCoV-19/Hebei/BD-25/2023	EPI_ISL_17031822	2023/2/2	China	Human		29691	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-150/2023	EPI_ISL_17031833	2023/2/5	China	Human		29828	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-159/2023	EPI_ISL_17031832	2023/2/4	China	Human		29759	GRA	BA.5.2.48
hCoV-19/Hebei/CD-9/2023	EPI_ISL_17031839	2023/2/6	China	Human		29817	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-152/2023	EPI_ISL_17031835	2023/2/5	China	Human		29799	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-155/2023	EPI_ISL_17031831	2023/2/4	China	Human		29783	GRA	BA.5.2.48
hCoV-19/Hebei/ZJK-119/2023	EPI_ISL_17031837	2023/2/5	China	Human		29676	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-153/2023	EPI_ISL_17031830	2023/2/4	China	Human		29803	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-151/2023	EPI_ISL_17031834	2023/2/5	China	Human		29832	GRA	BA.5.2.48
hCoV-19/Hebei/HS-4/2023	EPI_ISL_17031844	2023/2/6	China	Human		29642	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-172/2023	EPI_ISL_17031848	2023/2/6	China	Human		29666	GRA	BA.5.2.48
hCoV-19/Hebei/BD-19/2023	EPI_ISL_17031979	2023/1/11	China	Human		29782	GRA	BA.5.2.48
hCoV-19/Hebei/CZ-52/2023	EPI_ISL_17031852	2023/2/6	China	Human		29750	GRA	BA.5.2.48
hCoV-19/Hebei/XJ-2/2023	EPI_ISL_17031864	2023/2/9	China	Human		29633	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-162/2023	EPI_ISL_17031840	2023/2/6	China	Human		29778	GRA	BA.5.2.48
hCoV-19/Hebei/BD-27/2023	EPI_ISL_17031842	2023/2/6	China	Human		29795	GRA	BA.5.2.48
hCoV-19/Hebei/CD-16/2023	EPI_ISL_17031858	2023/2/8	China	Human		29639	GRA	BA.5.2.48
hCoV-19/Hebei/CD-21/2023	EPI_ISL_17031859	2023/2/8	China	Human		29689	GRA	BA.5.2.48
hCoV-19/Hebei/CD-65/2023	EPI_ISL_17031876	2023/2/9	China	Human		29665	GRA	BA.5.2.48
hCoV-19/Hebei/XT-13/2023	EPI_ISL_17031867	2023/2/9	China	Human		29686	GRA	BA.5.2.48
hCoV-19/Hebei/QHD-11/2023	EPI_ISL_17031877	2023/2/9	China	Human		29636	GRA	BA.5.2.48
hCoV-19/Hebei/XT-20/2023	EPI_ISL_17031868	2023/2/9	China	Human		29698	GRA	BA.5.2.48
hCoV-19/Hebei/ZJK-118/2023	EPI_ISL_17031850	2023/2/6	China	Human		29636	GRA	BA.5.2.48
hCoV-19/Hebei/XJ-4/2023	EPI_ISL_17031866	2023/2/9	China	Human		29775	GRA	BA.5.2.48
hCoV-19/Hebei/CD-14/2023	EPI_ISL_17031863	2023/2/9	China	Human		29649	GRA	BA.5.2.48
hCoV-19/Hebei/CD-31/2023	EPI_ISL_17031875	2023/2/9	China	Human		29652	GRA	BA.5.2.48
hCoV-19/Hebei/XT-23/2023	EPI_ISL_17031888	2023/2/11	China	Human		29690	GRA	BA.5.2.48
hCoV-19/Hebei/CD-60/2023	EPI_ISL_17031860	2023/2/8	China	Human		29797	GRA	BA.5.2.48
hCoV-19/Hebei/CD-24/2023	EPI_ISL_17031873	2023/2/9	China	Human		29656	GRA	BA.5.2.48
hCoV-19/Hebei/XT-22/2023	EPI_ISL_17031887	2023/2/11	China	Human		29698	GRA	BA.5.2.48
hCoV-19/Hebei/HD-66/2023	EPI_ISL_17031872	2023/2/9	China	Human		29634	GRA	BA.5.2.48
hCoV-19/Hebei/DZ-1/2023	EPI_ISL_17031894	2023/2/12	China	Human		29635	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-170/2023	EPI_ISL_17031890	2023/2/12	China	Human		29558	GRA	BA.5.2.48
hCoV-19/Hebei/CD-66/2023	EPI_ISL_17031889	2023/2/11	China	Human		29666	GRA	BA.5.2.48
hCoV-19/Hebei/QHD-3/2023	EPI_ISL_17031895	2023/2/13	China	Human		29577	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-174/2023	EPI_ISL_17031897	2023/2/13	China	Human		29649	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-171/2023	EPI_ISL_17031896	2023/2/13	China	Human		29688	GRA	BA.5.2.48
hCoV-19/Hebei/ZJK-89/2023	EPI_ISL_17031791	2023/1/30	China	Human		29686	GRA	BA.5.2.48
hCoV-19/Hebei/XT-16/2023	EPI_ISL_17031892	2023/2/12	China	Human		29782	GRA	BA.5.2.48
hCoV-19/Hebei/XT-15/2023	EPI_ISL_17031891	2023/2/12	China	Human		29750	GRA	BA.5.2.48
hCoV-19/Hubei/JCDC-682/2023	EPI_ISL_17032003	2023/2/13	China	Human		29634	GRA	BA.5.2.48
hCoV-19/Hebei/ZJK-100/2023	EPI_ISL_17031783	2023/1/30	China	Human		29782	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-149/2023	EPI_ISL_17031782	2023/1/30	China	Human		29782	GRA	BA.5.2.48
hCoV-19/Hubei/JCDC-678/2023	EPI_ISL_17031999	2023/2/12	China	Human		29632	GRA	BA.5.2.48
hCoV-19/Hubei/WCDC-670/2023	EPI_ISL_17031991	2023/2/14	China	Human		29632	GRA	BA.5.2.48
hCoV-19/Hubei/JCDC-683/2023	EPI_ISL_17032004	2023/2/13	China	Human		29634	GRA	BA.5.2.48
hCoV-19/Hubei/SZCDC-672/2023	EPI_ISL_17031993	2023/1/30	China	Human		29818	GRA	BA.5.2.48
hCoV-19/Hubei/SZCDC-673/2023	EPI_ISL_17031994	2023/2/14	China	Human		29792	GRA	BA.5.2.48
hCoV-19/Hubei/JCDC-702/2023	EPI_ISL_17032023	2023/2/14	China	Human		29632	GRA	BA.5.2.48
hCoV-19/Hubei/JCDC-700/2023	EPI_ISL_17032021	2023/2/15	China	Human		29638	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-116/2023	EPI_ISL_17031716	2023/1/19	China	Human		29688	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-105/2023	EPI_ISL_17031715	2023/1/19	China	Human		29691	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-103/2023	EPI_ISL_17031714	2023/1/19	China	Human		29682	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-154/2023	EPI_ISL_17031808	2023/2/1	China	Human		29769	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-113/2023	EPI_ISL_17031712	2023/1/18	China	Human		29687	GRA	BA.5.2.48
hCoV-19/Hebei/ZJK-41/2023	EPI_ISL_17031676	2023/1/15	China	Human		29619	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-97/2023	EPI_ISL_17031727	2023/1/22	China	Human		29698	GRA	BA.5.2.48
hCoV-19/Hebei/CZ-42/2023	EPI_ISL_17031729	2023/1/22	China	Human		29786	GRA	BA.5.2.48
hCoV-19/Hebei/SJZ-148/2023	EPI_ISL_17031720	2023/1/19	China	Human		29769	GRA	BA.5.2.48
hCoV-19/Hebei/HS-12/2023	EPI_ISL_17031906	2023/2/13	China	Human		29635	GRA	BA.5.2.48
hCoV-19/Hebei/XT-26/2023	EPI_ISL_17031900	2023/2/13	China	Human		29769	GRA	BA.5.2.48
hCoV-19/Hebei/HD-74/2023	EPI_ISL_17031927	2023/2/15	China	Human		29690	GRA	BA.5.2.48
hCoV-19/Hebei/CD-76/2023	EPI_ISL_17031924	2023/2/15	China	Human		29801	GRA	BA.5.2.48
hCoV-19/Hebei/DZ-3/2023	EPI_ISL_17031925	2023/2/15	China	Human		29632	GRA	BA.5.2.48
hCoV-19/Hebei/HD-43/2023	EPI_ISL_17031819	2023/2/2	China	Human		29690	GRA	BA.5.2.48
hCoV-19/Anhui/MCDC23120/2023	EPI_ISL_17039590	2023/2/15	China	Human		29769	GRA	BA.5.2.48
hCoV-19/Hainan/CDC-281/2023	EPI_ISL_17045273	2023/2/15	China	Human		29646	GRA	BA.5.2.48
hCoV-19/Hainan/CDC-282/2023	EPI_ISL_17045274	2023/2/15	China	Human		29639	GRA	BA.5.2.48
hCoV-19/Hainan/CDC-279/2023	EPI_ISL_17045271	2023/2/15	China	Human		29646	GRA	BA.5.2.48
hCoV-19/Henan/XCDC-053/2023	EPI_ISL_17062064	2023/1/11	China	Human		29768	GRA	BA.5.2.48
hCoV-19/Henan/XCDC-051/2023	EPI_ISL_17062062	2023/1/11	China	Human		29768	GRA	BA.5.2.48
hCoV-19/Shanxi/SXCDC-0236/2023	EPI_ISL_16911672	2023/1/15	China	Human		29769	GRA	BA.5.2.48
hCoV-19/Shanxi/SXCDC-0224/2023	EPI_ISL_16911661	2023/1/10	China	Human		29769	GRA	BA.5.2.48
hCoV-19/Shanxi/SXCDC-0225/2023	EPI_ISL_16911662	2023/1/11	China	Human		29768	GRA	BA.5.2.48
hCoV-19/Shanxi/SXCDC-0232/2023	EPI_ISL_16911669	2023/1/12	China	Human		29769	GRA	BA.5.2.48
hCoV-19/Anhui/AQCDC-20/2023	EPI_ISL_16921663	2023/2/7	China	Human		29796	GRA	BA.5.2.48
hCoV-19/Jiangsu/WXCDC-062/2023	EPI_ISL_16921910	2023/1/11	China	Human		29783	GRA	BA.5.2.48
hCoV-19/Jiangsu/WXCDC-067/2023	EPI_ISL_16921913	2023/1/12	China	Human		29804	GRA	BA.5.2.48
hCoV-19/Jiangsu/HACDC-037/2023	EPI_ISL_16921876	2023/1/31	China	Human		29812	GRA	BA.5.2.48
hCoV-19/Jiangsu/HACDC-033/2023	EPI_ISL_16921872	2023/1/13	China	Human		29812	GRA	BA.5.2.48
hCoV-19/Jiangsu/SQCDC-035/2023	EPI_ISL_16921903	2023/1/16	China	Human		29649	GRA	BA.5.2.48
hCoV-19/Jiangsu/CZCDC-044/2023	EPI_ISL_16921864	2023/1/23	China	Human		29866	GRA	BA.5.2.48
hCoV-19/Jiangsu/SQCDC-034/2023	EPI_ISL_16921902	2023/1/16	China	Human		29635	GRA	BA.5.2.48
hCoV-19/Jiangsu/YCCDC-050/2023	EPI_ISL_16921922	2023/1/14	China	Human		29762	GRA	BA.5.2.48
hCoV-19/Jiangsu/YCCDC-041/2023	EPI_ISL_16921919	2023/1/14	China	Human		29754	GRA	BA.5.2.48
hCoV-19/Henan/NYCDC-046/2023	EPI_ISL_16926319	2023/2/1	China	Human		29728	GRA	BA.5.2.48
hCoV-19/Henan/NYCDC-055/2023	EPI_ISL_16926312	2023/2/5	China	Human		29745	GRA	BA.5.2.48
hCoV-19/Henan/NYCDC-053/2023	EPI_ISL_16926318	2023/2/5	China	Human		29745	GRA	BA.5.2.48
hCoV-19/Henan/NYCDC-048/2023	EPI_ISL_16926323	2023/2/2	China	Human		29695	GRA	BA.5.2.48
hCoV-19/Henan/NYCDC-043/2023	EPI_ISL_16926310	2023/1/26	China	Human		29768	GRA	BA.5.2.48
hCoV-19/Henan/NYCDC-050/2023	EPI_ISL_16926303	2023/2/5	China	Human		29696	GRA	BA.5.2.48
hCoV-19/Anhui/FYCDC-146/2023	EPI_ISL_16951717	2023/2/13	China	Human		29796	GRA	BA.5.2.48
hCoV-19/Anhui/FYCDC-156/2023	EPI_ISL_16951724	2023/2/13	China	Human		29796	GRA	BA.5.2.48
hCoV-19/Anhui/FYCDC-144/2023	EPI_ISL_16951715	2023/2/13	China	Human		29781	GRA	BA.5.2.48
hCoV-19/Anhui/FYCDC-155/2023	EPI_ISL_16951723	2023/2/13	China	Human		29797	GRA	BA.5.2.48
hCoV-19/Anhui/FYCDC-140/2023	EPI_ISL_16951713	2023/2/13	China	Human		29798	GRA	BA.5.2.48
hCoV-19/Anhui/MCDC-23107/2023	EPI_ISL_16954162	2023/2/5	China	Human		29768	GRA	BA.5.2.48
hCoV-19/Qinghai/QCDC-XN1Y-84/2023	EPI_ISL_16955445	2023/2/11	China	Human		29682	GRA	BA.5.2.48
hCoV-19/Beijing/BJCDC-0523/2023	EPI_ISL_16955410	2023/2/1	China	Human		29780	GRA	BA.5.2.48
hCoV-19/Qinghai/QCDC-HSZ-52/2023	EPI_ISL_16955451	2023/2/13	China	Human		29686	GRA	BA.5.2.48
hCoV-19/Beijing/BJCDC-0516/2023	EPI_ISL_16955425	2023/1/17	China	Human		29782	GRA	BA.5.2.48
hCoV-19/Beijing/BJCDC-0530/2023	EPI_ISL_16955405	2023/2/2	China	Human		29771	GRA	BA.5.2.48
hCoV-19/Beijing/BJCDC-0501/2023	EPI_ISL_16955402	2023/2/3	China	Human		29780	GRA	BA.5.2.48
hCoV-19/Beijing/BJCDC-0500/2023	EPI_ISL_16955403	2023/2/3	China	Human		29780	GRA	BA.5.2.48
hCoV-19/Beijing/BJCDC-0515/2023	EPI_ISL_16955426	2023/1/17	China	Human		29782	GRA	BA.5.2.48
hCoV-19/Hainan/HCDC-209/2023	EPI_ISL_16968160	2023/2/10	China	Human		29589	GRA	BA.5.2.48
hCoV-19/Anhui/HNCDC-10/2023	EPI_ISL_16968091	2023/1/25	China	Human		29745	GRA	BA.5.2.48
hCoV-19/Hainan/HCDC-232/2023	EPI_ISL_16968113	2023/2/10	China	Human		29867	GRA	BA.5.2.48
hCoV-19/Anhui/HNCDC-13/2023	EPI_ISL_16968094	2023/1/18	China	Human		29641	GRA	BA.5.2.48
hCoV-19/Sichuan/YB23078/2023	EPI_ISL_16970274	2023/2/4	China	Human		29768	GRA	BA.5.2.48
hCoV-19/Sichuan/ZY230052/2023	EPI_ISL_16970280	2023/2/9	China	Human		29718	GRA	BA.5.2.48
hCoV-19/Sichuan/ZG23128/2023	EPI_ISL_16970265	2023/2/8	China	Human		29739	GRA	BA.5.2.48
hCoV-19/Henan/CDC-DF5/2023	EPI_ISL_16969498	2023/1/12	China	Human		29634	GRA	BA.5.2.48
hCoV-19/Henan/CDC-LG045/2023	EPI_ISL_16969499	2023/1/9	China	Human		29632	GRA	BA.5.2.48
hCoV-19/Shanxi/SXCDC-0336/2023	EPI_ISL_16970206	2023/2/1	China	Human		29769	GRA	BA.5.2.48
hCoV-19/Shanxi/SXCDC-0348/2023	EPI_ISL_16970218	2023/2/13	China	Human		29722	GRA	BA.5.2.48
hCoV-19/Shanxi/SXCDC-0339/2023	EPI_ISL_16970209	2023/2/6	China	Human		29769	GRA	BA.5.2.48
hCoV-19/Shanxi/SXCDC-0335/2023	EPI_ISL_16970205	2023/1/31	China	Human		29745	GRA	BA.5.2.48
hCoV-19/Shanxi/SXCDC-0345/2023	EPI_ISL_16970215	2023/2/8	China	Human		29768	GRA	BA.5.2.48
hCoV-19/Shanxi/SXCDC-0340/2023	EPI_ISL_16970210	2023/2/6	China	Human		29768	GRA	BA.5.2.48
hCoV-19/Sichuan/YB23067/2023	EPI_ISL_16970258	2023/2/6	China	Human		29721	GRA	BA.5.2.48
hCoV-19/Sichuan/YB23065/2023	EPI_ISL_16970256	2023/1/29	China	Human		29721	GRA	BA.5.2.48
hCoV-19/Sichuan/ZY230045/2023	EPI_ISL_16970241	2023/1/22	China	Human		29768	GRA	BA.5.2.48
hCoV-19/Sichuan/YB23059/2023	EPI_ISL_16970250	2023/1/28	China	Human		29765	GRA	BA.5.2.48
hCoV-19/Anhui/AQCDC-26/2023	EPI_ISL_16973026	2023/2/15	China	Human		29768	GRA	BA.5.2.48
hCoV-19/Anhui/AQCDC-24/2023	EPI_ISL_16973024	2023/2/14	China	Human		29769	GRA	BA.5.2.48
hCoV-19/Anhui/AQCDC-25/2023	EPI_ISL_16973025	2023/2/14	China	Human		29768	GRA	BA.5.2.48
hCoV-19/Anhui/AQCDC-23/2023	EPI_ISL_16973023	2023/2/13	China	Human		29769	GRA	BA.5.2.48
hCoV-19/Anhui/LCDC-018/2023	EPI_ISL_16973303	2023/2/12	China	Human		29799	GRA	BA.5.2.48
